Link,Channel,Trial,Timestamp,Outcome,Phase,ColumnOfFailure,Gender,Footwear,PeakHeight,Surface,Injury,dH_failure,Max_dH,Notes
TaumKwtbgv4,Channel Loading,1,0:07,F,7,7,M,Sneakers,7,Concrete,No,1,1,
,,1,0:15,F,10,10,M,Socks,7,Grass,No,-1,1,
,,1,0:31,F,9,9,F,Sneakers,7,Grass,No,-1,1,
,,1,1:19,F,5,5,M,Boots,7,Grass,No,1,1,
,,1,1:30,F,7,7,M,Sneakers,6,Grass,No,-1,1,
,,1,2:14,F,10,10,M,Sneakers,7,Grass,No,-1,1,
K3ytuS63L3A,Full Metallic,1,0:48,S,,,F,High heels,6,Grass,No,,2,dH = +2 on col 1
,,1,2:01,S,,,M,Sneakers,7,Grass,No,,1,
,,1,4:01,F,9,9,M,Slippers,7,Grass,No,-1,1,
,,1,4:54,F,5,5,F,Barefoot,7,Sand,No,1,1,
,,1,5:59,F,8,8,M,Sneakers,7,Concrete/Gravel,Yes,-1,3,dH = -3 on col 11 (not reached); possible concussion
,,1,6:37,F,7,7,M,Sneakers,7,Grass,No,1,1,
,,1,8:05,F,8,8,M,Sneakers,7,Grass,No,-1,1,
,,1,8:35,F,8,8,M,Socks,7,Grass,No,-1,2,dH = -2 on col 10 (not reached)
,,1,9:15,F,8,8,M,Boots,7,Grass,No,-1,2,dH =  +2 at peak 7; dH = -2 at col 7
H9Y40oJS_IE,Backyard BBQ,1,0:28,F,7,7,M,Sneakers,6,Grass,No,-1,2,dH = -2 at col 7
,,1,0:34,F,6,6,M,Socks,6,Grass,No,1,2,dH = +2 at peak 5
,,1,0:37,F,7,8,F,Sneakers,7,Grass,No,-1,1,
,,1,0:46,F,8,8,M,Sneakers,7,Grass,No,-1,1,
,,1,1:02,F,7,7,F,Barefoot,7,Grass,No,1,1,
,,1,1:25,F,5,5,M,Sneakers,7,Grass,No,-1,1,
,,1,1:34,F,8,8,M,Sneakers,7,Grass,No,-1,1,
,,1,1:39,F,5,5,M,Sneakers,7,Concrete,No,1,2,"dH = +2 at peak 7; dH = -2 at peak 7, cols 6, 7"
,,1,1:51,F,10,9,M,Sneakers,7,Grass,No,-1,1,
,,1,2:05,F,8,8,M,Slippers,7,Grass,No,-1,2,dH = +2 at col 2
,,1,3:20,F,8,7,F,Sneakers,7,Grass,No,-1,1,
,,1,3:32,F,4,3,F,Sneakers,7,Asphalt,No,1,2,"dH = +2 at cols 1, 3, 4; dH = -2 at cols 5, 8"
,,1,4:02,F,8,8,M,Sneakers,7,Grass,No,-1,2,dH = +2 at col 1
,,1,4:53,S,,,F,Sneakers,7,Grass,No,,1,
,,1,5:39,S,,,M,Sneakers,8,Grass,No,,2,dH = +2 at col 6; dH = -2 at col 8
,,1,6:13,F,6,5,M,Sneakers,7,Grass,No,1,1,
,,1,6:16,F,7,8,M,Sneakers,7,Grass,No,-1,1,
,,1,6:41,F,7,7,M,Socks,7,Grass,No,-1,2,dH = +2 at col 5; dH = -2 at col 8
,,1,8:12,F,7,6,M,Sneakers,7,Grass,Yes,-1,2,dH = +2 at col 6; dH = -2 at col 7;  dislocated arm
TWf_LGh0DjU,Tsonga Updates,1,0:00,F,6,6,M,Sneakers,6,Grass,No,1,1,
,,1,0:45,F,7,7,F,Sneakers,7,Grass,No,1,2,dH = -2 at col 11 (not reached)
zkj_Llh180Y,Ozsensei,1,0:17,F,8,8,M,Slippers,7,Grass,No,-1,1,
,,1,0:43,F,8,8,M,Sneakers,6,Grass,No,-1,1,
,,1,1:07,F,5,5,M,Sneakers,7,Concrete,Yes,1,1,Participant broke ankle
,,1,2:02,F,8,8,M,Slippers,7,Grass,No,-1,1,
,,1,3:51,F,8,8,F,Barefoot,7,Grass,Yes,-1,1,Participant dislocated right elbow
,,1,5:11,F,8,8,M,Sneakers,7,Grass,No,-1,1,
,,1,5:23,S,,,M,Barefoot,7,Grass,No,,1,Partcipant walked backwards
,,1,6:12,F,6,6,M,Sneakers,8,Grass,No,-1,1,
,,1,6:30,F,6,6,M,Boots,7,Concrete,No,-2,2,"dH = +2 at cols 3, 5; dH = -2 at cols 6, 7, 8"
,,1,7:11,F,3,3,F,Socks,7,Concrete,No,2,3,"dH = +2 at cols 3, 5; dH = -2 at col 7; dH = -3 at col 6"
,,1,8:50,F,6,6,F,Sneakers,7,Grass,No,1,1,
,,1,8:56,S,,,F,Sneakers,7,Grass,No,,1,
